Text	Season	Episode
"to lead the sheep to the slaughterhouse""?"	1	1
I don't want to go to school tomorrow.	1	1
You gonna pitch to me or not?	1	1
Midge, I'm serious. I have nothing.	1	1
I am over, and they're finally gonna know it.	1	1
Next time you see me,	1	1
there will be a bunch of young executives	1	1
picking meat off my ribs.	1	1
That's a pretty picture.	1	1
What's your secret?	1	1
Nine different ways to say...	1	1
"""I love you, Grandma."""	1	1
We should get married.	1	1
You think I'd make a good ex-wife?	1	1
I'm serious.	1	1
You have your own business.	1	1
You don't mind when I come over.	1	1
What size Cadillac do you take?	1	1
You know the rules.	1	1
I don't make plans,	1	1
and I don't make breakfast.	1	1
Sterling's having the tobacco people in in nine hours,	1	1
and I have nothing.	1	1
People love smoking.	1	1
There's nothing that you, the Trade Commission,	1	1
or Reader's Digest can do to change that.	1	1
There's this kid who comes by my office every day,	1	1
looks where he's gonna put his plants.	1	1
Is he handsome?	1	1
23.	1	1
Uh, not right away.	1	1
Pal, could you take the long way up?	1	1
I am really enjoying the view here.	1	1
You going to Campbell's bachelor party?	1	1
Yeah, I want to be there	1	1
before they tie an anchor around his neck	1	1
and drag him out to sea.	1	1
I hear she's a nice girl.	1	1
Eh, who wants that?	1	1
What did you do that for?	1	1
She'll probably be assigned to one of us.	1	1
Then she'll know what she's in for.	1	1
You got to let them know what kind of guy you are.	1	1
Then they'll know what kind of girl to be.	1	1
I have a feeling we won't be going	1	1
to your bachelor party soon.	1	1
Yeah, well, compared to Campbell,	1	1
I'm a Boy Scout.	1	1
Excuse me. Is he expecting you?	1	1
He's not expecting anything.	1	1
Oh, honey, don't worry. I'll get home safely.	1	1
I have an important appointment right now,	1	1
so why don't you go shopping or something?	1	1
Take your mother to lunch.	1	1
Tell her it was my idea.	1	1
Wow. He's good.	1	1
It's just a bachelor party, dear.	1	1
No, I really don't know what they have planned,	1	1
but judging from the creative brain power around here,	1	1
we'll probably end up seeing My Fair Lady.	1	1
I'll tell you what.	1	1
I'll drop by your place on my way home.	1	1
Your mother can check under my fingernails.	1	1
Of course I love you.	1	1
I'm giving up my life to be with you, aren't I?	1	1
What a great gal.	1	1
Tell ya, boys,	1	1
she stole my heart.	1	1
And her old man's loaded.	1	1
Now, this is the executive floor.	1	1
It should be organized, but it's not,	1	1
so you'll find account executives	1	1
and creative executives all mixed in together.	1	1
Please don't ask me the difference.	1	1
Great.	1	1
Hopefully, if you follow my lead,	1	1
you can avoid some of the mistakes I've made here.	1	1
Hello, Joan. Like that one.	1	1
So how many trains did it take you?	1	1
Only one, but I got up very early.	1	1
In a couple of years, with the right moves,	1	1
you'll be in the city with the rest of us.	1	1
Of course, if you really make the right moves,	1	1
you'll be out in the country,	1	1
and you won't be going to work at all.	1	1
You'll be here just across the aisle from me.	1	1
We'll both take care of Mr. Draper for the time being.	1	1
I don't know what your goals are,	1	1
but don't overdo it with the perfume.	1	1
Keep a fifth of something in your desk.	1	1
Mr. Draper drinks rye.	1	1
Also, invest in some aspirin, Band-Aids,	1	1
and a needle and thread.	1	1
Rye is Canadian, right?	1	1
You better find out.	1	1
He may act like he wants a secretary,	1	1
but most of the time,	1	1
they're looking for something	1	1
between a mother and a waitress.	1	1
And the rest of the time, well...	1	1
Go home, take a paper bag,	1	1
and cut some eyeholes out of it.	1	1
Put it over your head, get undressed,	1	1
and look at yourself in the mirror.	1	1
Really evaluate where your strengths and weaknesses are,	1	1
and be honest.	1	1
I always try to be honest.	1	1
Good for you.	1	1
Now, try not to be overwhelmed	1	1
by all this technology.	1	1
It looks complicated,	1	1
but the men who designed it	1	1
made it simple enough for a woman to use.	1	1
I sure hope so.	1	1
At lunch, pick up a box of chocolates,	1	1
a dozen carnations, and some bath salts.	1	1
I'll explain later.	1	1
Thank you, Miss Holloway.	1	1
You're really wonderful for looking out for me this way.	1	1
It's Joan.	1	1
And listen,	1	1
don't take this the wrong way,	1	1
but a girl like you, with those darling little ankles,	1	1
I'd find a way to make 'em sing.	1	1
Also, men love scarves.	1	1
Good morning, Mr. Draper.	1	1
Oh! And Mr. Sterling. How are you?	1	1
Morning, girls.	1	1
You look like a hundred bucks. Long night?	1	1
It's not this tobacco thing, is it?	1	1
It's been on my mind.	1	1
Yeah, well, I should hope so.	1	1
Lee Garner, his father,	1	1
the whole Lucky Strike family will be here at 4.	1	1
You worried?	1	1
No.	1	1
If I was worried, I'd ask you what you've got,	1	1
but I'm not, so I'm just going to assume you've got something,	1	1
which means you should be worried.	1	1
So you came here because you wanted to watch me get dressed?	1	1
No, I wanted to make sure you were here.	1	1
In body. Give me about a half hour	1	1
for the rest of it.	1	1
Oh.	1	1
How do I put this?	1	1
Have we ever hired any Jews?	1	1
Not on my watch.	1	1
That's very funny. It's not what I meant.	1	1
We've got an Italian. Salvatore, my art director.	1	1
That won't work. Sorry.	1	1
Most of the Jewish guys work for the Jewish firms.	1	1
Yeah, I know.	1	1
Selling Jewish products to Jewish people.	1	1
That's very good.	1	1
It's just that our 11:00	1	1
is with Menken's Department Store	1	1
and I wish we had someone to make them feel...	1	1
comfortable.	1	1
You want me to run down to the deli and grab somebody?	1	1
You missed a button.	1	1
Ah. Look at you, Gidget.	1	1
Still trying to fill out that bikini?	1	1
Summer's coming.	1	1
Without the medical claims,	1	1
all we have is a white box with a red spot on it.	1	1
My neighbor posed for that.	1	1
Believe me, he always looks very relaxed.	1	1
Of course, he doesn't smoke.	1	1
Had him hold a pencil.	1	1
If I know these guys,	1	1
you're better off with a little sex appeal.	1	1
Can you give me a woman in a bathing suit,	1	1
put her next to your guy?	1	1
A sexy girl? I can do that.	1	1
Give you a chance to get a real model.	1	1
Oh, I love my work.	1	1
Speaking of sexy girls,	1	1
are you going to Pete's bachelor party?	1	1
I'm not really big on those things.	1	1
Tell me about it. It's so embarrassing.	1	1
If a girl's gonna shake it in my face,	1	1
I want to be alone so I can do something.	1	1
Should we drink before the meeting or after?	1	1
Or both?	1	1
So... that's it, huh? Relax?	1	1
Don't be short with me.	1	1
You're the writer.	1	1
I thought it was worth a try.	1	1
Greta Guttman is here to see you.	1	1
Send her in.	1	1
Oh, great.	1	1
Now we get to hear from our man in research.	1	1
Mr. Draper, Mr. Romano,	1	1
you both seemed more relaxed than I expected.	1	1
Do you have some kind of surprise for the tobacco people?	1	1
I'm doing my own research.	1	1
If you're planning to continue with medical testimony,	1	1
you'll only be inviting further government interference.	1	1
We must police ourselves.	1	1
There's your slogan. The medical thing is dead.	1	1
We understand that.	1	1
Yes, dead. An apt choice of words,	1	1
considering the public is convinced	1	1
that cigarettes are poisonous.	1	1
If we can't insist that they're not,	1	1
I believe my most recent surveys	1	1
have provided a solution.	1	1
We can still suggest	1	1
that cigarettes are part of American life,	1	1
or too good to give up,	1	1
or, most appealing, an assertion of independence.	1	1
So, basically, if you love danger, you'll love smoking.	1	1
We can put a skull and crossbones on the label.	1	1
I love it.	1	1
Before the war,	1	1
when I studied with Adler in Vienna,	1	1
we postulated that what Freud called the death wish	1	1
is as powerful a drive	1	1
as those for sexual reproduction	1	1
and physical sustenance.	1	1
Freud, you say?	1	1
What agency is he with?	1	1
So we're supposed to believe	1	1
that people are all living one way	1	1
and secretly thinking the exact opposite?	1	1
That's ridiculous.	1	1
Let me tell you something, Miss Guttman...	1	1
Doctor.	1	1
Dr. Guttman.	1	1
Psychology might be great at cocktail parties,	1	1
but it so happens that people were buying cigarettes	1	1
before Freud was born.	1	1
The issue here isn't why should people smoke.	1	1
It's why should people smoke Lucky Strike.	1	1
Suggesting that our customers have a...	1	1
What did you call it? A death wish?	1	1
I just don't see that on a billboard.	1	1
So what if Reader's Digest says they're dangerous?	1	1
They also said Bambi was the book of the century.	1	1
There's no proof.	1	1
There's conclusive proof	1	1
that none of these low-tar, low-nicotine,	1	1
or filtration systems	1	1
have any effect on the incidences of lung cancer.	1	1
Just give me the damn report.	1	1
I think you'll find it very convincing.	1	1
I'm sure I will.	1	1
You're the one who found	1	1
all of our medical testimonials in the first place.	1	1
That's true, Mr. Draper, but I...	1	1
Has anyone else seen this?	1	1
Of course not. It's your account.	1	1
Good.	1	1
I don't want to hear about it anymore.	1	1
I'm sorry. I just find your whole approach perverse.	1	1
Good luck at the meeting.	1	1
I'm sure it will be a quick one.	1	1
Sal, I'll take that drink now.	1	1
Mr. Draper.	1	1
Excuse me.	1	1
Mr. Draper.	1	1
I'm sorry to wake you, but Mr. Campbell is outside.	1	1
He doesn't know I'm sleeping in here, does he?	1	1
No, sir.	1	1
That's good.	1	1
Who are you?	1	1
I'm Peggy Olson, the new girl.	1	1
Can you go out there and entertain him?	1	1
I know it's my first day,	1	1
and I don't want to seem uncooperative,	1	1
but do I have to?	1	1
I see your point.	1	1
I brought you some aspirin.	1	1
Send him in.	1	1
You look like a hundred bucks.	1	1
Ready to go sweet-talk some retail Jews?	1	1
You are tough to take first thing in the morning, Pete.	1	1
I've never had any complaints.	1	1
Speaking of which, who's your little friend here?	1	1
She's the new girl.	1	1
You always get the new girl.	1	1
Management gets all the perks.	1	1
Where are you from, honey?	1	1
Miss Deaver's Secretarial School.	1	1
Top notch.	1	1
But I meant where are you from?	1	1
Are you Amish or something?	1	1
No. I'm from Brooklyn.	1	1
Well, you're in the city now.	1	1
It wouldn't be a sin for us to see your legs.	1	1
If you pull your waist in, you might look like a woman.	1	1
Is that all, Mr. Draper?	1	1
Hey, I'm not done here.	1	1
I'm working my way up.	1	1
That will be all.	1	1
Peggy, right? Yes.	1	1
Oh, and it's time for your 11:00 meeting.	1	1
Oh, and sorry about Mr. Campbell here.	1	1
He left his manners back at the fraternity house.	1	1
She's a little young for you, Draper.	1	1
The future Mrs. Pete Campbell is a very lucky woman.	1	1
When's the wedding again?	1	1
Sunday. Did Ken tell you	1	1
about the bachelor party tonight?	1	1
He sure did.	1	1
So do I get first crack at her?	1	1
Word is she took down more sailors than The Arizona.	1	1
How old are you, Pete?	1	1
I just turned 26.	1	1
I bet the whole world looks like	1	1
one great big brassiere strap	1	1
just waiting to be snapped, huh?	1	1
You are good with words, Draper.	1	1
Campbell, we're both men here,	1	1
so I'm gonna be direct.	1	1
Christ, are you already sleeping with her?	1	1
Advertising is a very small world,	1	1
and when you do something like malign the reputation	1	1
of a girl from the steno pool on her first day,	1	1
you make it even smaller.	1	1
Keep it up, and even if you do get my job,	1	1
you'll never run this place.	1	1
You'll die in that corner office,	1	1
a mid-level executive with a little bit of hair	1	1
who women go home with out of pity.	1	1
Want to know why?	1	1
'Cause no one will like you.	1	1
Oh! Here are our miracle-workers now.	1	1
You know Pete Campbell, of course,	1	1
your account executive if you choose to do business with us.	1	1
And this handsome fellow is Don Draper,	1	1
the best creative director in New York.	1	1
Well, at least the building. Pleasure to meet you.	1	1
Oop. Sorry about that.	1	1
I'm Rachel Menken.	1	1
Oh. Uh, sorry. I was expecting...	1	1
You were expecting me to be a man.	1	1
My father was, too.	1	1
And you are?	1	1
Why, Don, you remember David Cohen	1	1
from the art department.	1	1
Of course! David.	1	1
One of the rising stars here at Sterling Cooper.	1	1
Well, why don't we make ourselves comfortable?	1	1
And Miss Menken, you can tell us what you have in mind.	1	1
Wonderful.	1	1
That's very subtle.	1	1
Isn't that your shirt?	1	1
Had to go all the way to the mailroom,	1	1
but I found one.	1	1
So you must be Peggy Olson.	1	1
Joan Holloway sent you over.	1	1
She's a great girl. How is Joan?	1	1
She sends her regards.	1	1
She's a lot of fun.	1	1
Must be a scream to work with her.	1	1
Yes, it's pretty terrific.	1	1
Mm-hmm.	1	1
Try to make yourself comfortable.	1	1
Relax.	1	1
I see from your chart, and your finger,	1	1
that you're not married.	1	1
That's right.	1	1
And yet you're interested in the contraceptive pills.	1	1
Well, I was...	1	1
No reason to be nervous.	1	1
Joan sent you to me because I'm not here to judge you.	1	1
There's nothing wrong with a woman being practical	1	1
about the possibility of sexual activity.	1	1
Spread your knees.	1	1
That's good to hear.	1	1
Although, as a doctor,	1	1
I'd like to think that putting a woman in this situation	1	1
is not gonna turn her into some kind of strumpet.	1	1
Slide your fanny toward me. I'm not gonna bite.	1	1
I'll warn you now,	1	1
I will take you off this medicine if you abuse it.	1	1
It's for your own good, really.	1	1
But the fact is, even in our modern times,	1	1
easy women...	1	1
don't find husbands.	1	1
I understand, Dr. Emerson.	1	1
I really am a very responsible person.	1	1
Well, I'm sure you're not that kind of girl.	1	1
Now, Joan...	1	1
I'm just kidding along here. You can get dressed.	1	1
I'm gonna write you a prescription for Enovid.	1	1
They're $11 a month,	1	1
but don't think you have to go out	1	1
and become the town pump	1	1
just to get your money's worth.	1	1
Excuse my French.	1	1
So what Don is saying	1	1
is that through a variety of media,	1	1
including a spot during The Danny Thomas Show,	1	1
if you can afford it,	1	1
we could really boost awareness.	1	1
Then, a 10% off coupon in select ladies' magazines	1	1
will increase your first-time visitors.	1	1
Once we get them into the store,	1	1
the rest...	1	1
is kind of up to you.	1	1
Mr. Draper, our store is 60 years old.	1	1
We share a wall with Tiffany's.	1	1
Honestly, a coupon?	1	1
Miss Menken, coupons work.	1	1
I think your father would agree with the strategy.	1	1
He might, but he's not here	1	1
because we just had our lowest sales year ever.	1	1
So I suppose what I think	1	1
matters most right now.	1	1
Miss Menken, why did you come here?	1	1
There are a dozen other agencies	1	1
better suited to your... needs.	1	1
If I wanted some man who happened to be	1	1
from the same... village as my father	1	1
to manage my account,	1	1
I could have stayed where I was.	1	1
Their research favors coupons, too.	1	1
It's not just research, Miss Menken.	1	1
Housewives love coupons.	1	1
I'm not interested in housewives.	1	1
What kind of people do you want?	1	1
I want your kind of people, Mr. Draper:	1	1
people who don't care about coupons,	1	1
whether or not they can afford it.	1	1
People who are coming to the store	1	1
because it is expensive.	1	1
We obviously have very different ideas.	1	1
Yes, like the customer is always right?	1	1
Gentlemen, I really thought	1	1
you could do better than this.	1	1
Sterling Cooper has a reputation for being innovative.	1	1
Miss, you are way out of line.	1	1
Don, please.	1	1
Let's not get emotional here.	1	1
There's no reason we can't talk this out.	1	1
Talk out what? This silly idea	1	1
that people are gonna come to some store they've never been to	1	1
because it's more expensive?	1	1
It works for Chanel.	1	1
Menken's is not Chanel.	1	1
That's a vote of confidence.	1	1
What Don's saying is,	1	1
Chanel is a very different kind of place.	1	1
It's French, it's continental, it's...	1	1
Not just another Jewish department store?	1	1
Exactly.	1	1
You were right, Roger.	1	1
This place really runs on charm.	1	1
This is ridiculous. Don.	1	1
I'm not gonna let a woman talk to me like this.	1	1
This meeting is over. Good luck, Miss Menken.	1	1
Hey, Don, I don't blame you.	1	1
She was way out of line.	1	1
Adding money and education	1	1
doesn't take the rude edge out of people.	1	1
Roger's not gonna be happy,	1	1
so I guess that's good for you.	1	1
I'm not gonna pretend I don't want your job,	1	1
but you were right.	1	1
I'm not great with people,	1	1
and you are.	1	1
I mean, not counting that meeting we were just in.	1	1
So I'm kind of counting on you to help me out.	1	1
There's plenty of room at the top.	1	1
Look, I'm sorry I was so hard on you before.	1	1
It's just this damn tobacco thing.	1	1
You'll think of something. A man like you	1	1
I'd follow into combat blindfolded,	1	1
and I wouldn't be the first.	1	1
Am I right, buddy?	1	1
Let's take it a little slower.	1	1
I don't want to wake up pregnant.	1	1
Fuck you.	1	1
Dr. Emerson's a dream, isn't he?	1	1
He seemed nice.	1	1
He has a place in South Hampton.	1	1
I'm not saying that I've seen it,	1	1
but it's beautiful.	1	1
Now, don't be nervous,	1	1
but this is the nerve center of the office.	1	1
You and your boss rely on the willing	1	1
and cheerful cooperation	1	1
of a few skilled employees.	1	1
Never snap, yell,	1	1
or be sarcastic with them.	1	1
And above all,	1	1
always be a supplicant.	1	1
I know you girls are busy, but we've got a new one.	1	1
Peggy, this is Marge, Nanette, and Ivy.	1	1
I brought you some things.	1	1
"I guess a sort of ""getting to know you"" gift."	1	1
Well, aren't you a sweetheart?	1	1
If I know Joan, the candy's for me.	1	1
Joan, you're not fair.	1	1
You know she has to lose eight pounds	1	1
by the Christmas party.	1	1
I think you look great.	1	1
Yeah, it's because I'm sitting down.	1	1
You can come back and visit any time you want, honey.	1	1
Who does she work for?	1	1
Don Draper.	1	1
They got rid of Eleanor?	1	1
She moved on.	1	1
Draper wasn't interested.	1	1
Well, she couldn't get a call through.	1	1
Rude little thing.	1	1
We see that you've got your hands full.	1	1
Don't want to be a bother.	1	1
Nice meeting you.	1	1
Hey, you have great legs.	1	1
I bet you Mr. Draper would like them	1	1
if he could see them.	1	1
Sterling Cooper.	1	1
How may I direct your call?	1	1
I just don't know what we have to do	1	1
to make these government interlopers happy.	1	1
They tell us to make a safer cigarette,	1	1
we do it,	1	1
and then suddenly that's not good enough.	1	1
Might as well be living in Russia.	1	1
Mmm. Damn straight.	1	1
You know, this morning I got a call	1	1
from my competitors at Brown & Williamson,	1	1
and they're getting sued by the federal government	1	1
because of the health claims they made.	1	1
Yeah, we're aware of that, Mr. Garner,	1	1
but you have to realize	1	1
that through the manipulation of the mass media,	1	1
the public is under the impression	1	1
that your cigarettes are linked to...	1	1
certain fatal diseases.	1	1
Manipulation of the media?	1	1
Hell, that's what I pay you for.	1	1
Our product is fine. I smoke 'em myself.	1	1
My granddad smoked 'em. He died at 95 years old.	1	1
He was hit by a truck.	1	1
I understand. But our hands are tied.	1	1
We're no longer allowed to advertise	1	1
that Lucky Strikes are safe.	1	1
So what the hell are we gonna do?	1	1
We've already funded our own tobacco research center	1	1
to put this whole rumor to rest.	1	1
And that's a very good start.	1	1
But it may not affect sales.	1	1
Don, I think maybe that's your cue.	1	1
Well, uh...	1	1
I have been, uh...	1	1
thinking quite a bit about this,	1	1
and, uh...	1	1
I mean, you know I'm a Lucky Strike man from way back, so...	1	1
I might have a solution.	1	1
At Sterling Cooper,	1	1
we've been pioneering the burgeoning field of research,	1	1
and our analysis shows	1	1
that the health risks associated with your product	1	1
is not the end of the world.	1	1
People get in their cars every day to go to work,	1	1
and some of them die.	1	1
Cars are dangerous.	1	1
There's nothing you can do about it.	1	1
You still have to get where you're going.	1	1
Cigarettes are exactly the same,	1	1
so why don't we simply say,	1	1
"""So what if cigarettes are dangerous?"	1	1
"""You're a man."	1	1
"""The world is dangerous."	1	1
"""Smoke your cigarette."	1	1
"You still have to get where you're going."""	1	1
That's very interesting.	1	1
I mean, if cigarettes were dangerous,	1	1
it would be interesting.	1	1
Except they aren't.	1	1
That's your slogan?	1	1
"""You're going to die anyway. Die with us""?"	1	1
Actually, it's a fairly well-established psychological principle	1	1
that society has a death wish,	1	1
and if we could just tap into that,	1	1
the market potential is...	1	1
What the hell are you talking about?	1	1
Are you insane?	1	1
I'm not selling rifles here.	1	1
I'm in the tobacco business.	1	1
We're selling America.	1	1
The Indians gave it to us, for shit's sake.	1	1
Come on, Dad.	1	1
Let's get out of here.	1	1
The bright spot is, at least we know	1	1
if we have this problem,	1	1
everybody has this problem.	1	1
Gentlemen, before you leave, can I just say something?	1	1
I don't know, Don. Can you?	1	1
The Federal Trade Commission and Reader's Digest	1	1
have done you a favor.	1	1
They've let you know that any ad that brings up	1	1
the concept of cigarettes and health together...	1	1
Well, it's just gonna make people think of cancer.	1	1
Yes, and we're grateful to them.	1	1
But what Lee, Jr., said is right.	1	1
If you can't make those health claims,	1	1
neither can your competitors.	1	1
So we've got a lot of people	1	1
not saying anything that sells cigarettes.	1	1
Not exactly.	1	1
This is the greatest advertising opportunity	1	1
since the invention of cereal.	1	1
We have six identical companies	1	1
making six identical products.	1	1
We can say anything we want.	1	1
How do you make your cigarettes?	1	1
I don't know.	1	1
Shame on you.	1	1
We breed insect-repellent tobacco seeds,	1	1
plant them in the North Carolina sunshine,	1	1
grow it, cut it, cure it, toast it...	1	1
There you go.	1	1
There you go.	1	1
But everybody else's tobacco is toasted.	1	1
No. Everybody else's tobacco is poisonous.	1	1
Lucky Strikes...	1	1
is toasted.	1	1
Well, gentlemen, I don't think I have to tell you what you just witnessed here.	1	1
I think you do.	1	1
Advertising is based on one thing:	1	1
happiness.	1	1
And you know what happiness is?	1	1
Happiness is the smell of a new car.	1	1
It's freedom from fear.	1	1
It's a billboard on the side of the road	1	1
that screams with reassurance	1	1
that whatever you're doing...	1	1
it's okay.	1	1
You are okay.	1	1
It's toasted.	1	1
I get it.	1	1
You had me worried.	1	1
I don't know if you were drunk or not drunk,	1	1
but that was inspired.	1	1
For the record, I pulled it out of thin air,	1	1
so thank you, up there.	1	1
You're looking in the wrong direction.	1	1
So now that I've got you in the afterglow here,	1	1
what do you say you reconsider this presidential campaign?	1	1
I don't know. Bunting and babies?	1	1
That's hard work.	1	1
I'd only make hash of it.	1	1
Modesty. That's adorable.	1	1
Consider the product: he's young, handsome, Navy hero.	1	1
Honestly, it shouldn't be too difficult	1	1
to convince America Dick Nixon is a winner.	1	1
Mr. Draper, you've got visitors.	1	1
Could you be a little more specific, honey?	1	1
We heard you saved the day.	1	1
Oh, thank you, boys. I appreciate it.	1	1
I told them how amazing you were.	1	1
I'm still tingling.	1	1
Well, looks like you're all going to engage	1	1
in a little mid-level camaraderie,	1	1
so I'll be on my way.	1	1
Don, thanks again for the home run.	1	1
I love to come through. Speaking of which,	1	1
any chance you could patch things up with Rachel Menken?	1	1
Any way you can be as charming as I said you were?	1	1
Haven't you had enough of my magic for one day?	1	1
She's worth $3 million.	1	1
You're a whore.	1	1
Peggy...	1	1
Could she get us a little more ice?	1	1
Yes, Mr. Draper? Just a minute.	1	1
Fellas, I think this party's gonna have to move elsewhere.	1	1
We'll move wherever you want, but it's 5:15.	1	1
The bachelor party's underway.	1	1
I don't know.	1	1
Oh, come on, Don. All hands on deck.	1	1
Aren't you gonna help give Pete his big sendoff?	1	1
Maybe next time.	1	1
Come on, guys.	1	1
Don will join us later, right, Don?	1	1
If Greta's research was any good,	1	1
I would have used it.	1	1
What are you talking about?	1	1
I'm saying I had a report just like that.	1	1
And it's not like there's some magic machine	1	1
that makes identical copies of things.	1	1
I still think she was right.	1	1
Have a great night, Pete.	1	1
Congratulations.	1	1
I heard you were amazing in the meeting.	1	1
Fear stimulates my imagination.	1	1
I just wanted to thank you for a great first day,	1	1
and for, you know...	1	1
standing up for me with Mr. Campbell.	1	1
First of all, Peggy,	1	1
I'm your boss, not your boyfriend.	1	1
Second of all, you ever let Pete Campbell go through my trash again,	1	1
and you won't be able to find a job selling sandwiches in Penn Station.	1	1
He said he left his fountain pen in here.	1	1
I didn't know.	1	1
I hope you don't think I'm that kind of girl.	1	1
Of course not.	1	1
Go home. Put your curlers in.	1	1
We'll get a fresh start tomorrow.	1	1
Oh. And, Peggy,	1	1
I need you to place a call.	1	1
♪♪	1	1
I want to see you here every 15 minutes,	1	1
whether you have drinks or not.	1	1
Uh, every five minutes.	1	1
Let's live here.	1	1
Better do more than look tonight.	1	1
Do you have a girlfriend, Salvatore?	1	1
Come on. I'm Italian.	1	1
Is there some kind of party here?	1	1
How did you swing it?	1	1
They work at the Automat.	1	1
He pressed a button, and they came out.	1	1
I hope we're not interrupting anything.	1	1
Definitely not.	1	1
Well, I have the best seat. What are we drinking?	1	1
More of whatever's making you the way you are.	1	1
I love this place.	1	1
It's hot, loud, and filled with men.	1	1
I know what you mean.	1	1
Oh, my God. I can already feel it.	1	1
I have a feeling you're like this all the time.	1	1
I like to laugh.	1	1
Is that right?	1	1
Now, you stop that.	1	1
You said you like to laugh.	1	1
I mean it.	1	1
It's... It's too...	1	1
Too delicious.	1	1
Hey, I said stop it. What do you think you're doing?	1	1
You know exactly.	1	1
Um, you know what, girls?	1	1
I think we should go.	1	1
Oh, come on.	1	1
You're hurting me.	1	1
I'll be good.	1	1
Buy the girls whatever they want.	1	1
So, uh, what do you fellas do?	1	1
You're looking at the finest ad men in New York.	1	1
Hell, the world.	1	1
♪♪	1	1
For the lady, a special Mai Tai,	1	1
and one whiskey neat.	1	1
So...	1	1
you're going to ply me with drinks	1	1
and convince me what a terrible mistake I'm making.	1	1
That is quite a drink.	1	1
You got in trouble, didn't you?	1	1
I shouldn't have lost my temper,	1	1
and I certainly shouldn't have treated you	1	1
like anything less than a client.	1	1
Apology accepted.	1	1
So you understand.	1	1
Now I do.	1	1
It was, uh, refreshing, really.	1	1
I mean, actually hearing all the things	1	1
I always assumed people were thinking.	1	1
Well, I'm not really as bad as all that.	1	1
I was under a lot of pressure.	1	1
Another account.	1	1
Doesn't really matter.	1	1
No, it doesn't.	1	1
So, without making things worse,	1	1
can I ask you a personal question?	1	1
Don't you want to get	1	1
a second drink in me first?	1	1
Why aren't you married?	1	1
Are you asking what's wrong with me?	1	1
It's just that you're a beautiful, educated woman.	1	1
Don't you think that getting married and having a family	1	1
would make you happier than all the headaches	1	1
that go along with...	1	1
fighting people like me?	1	1
If I weren't a woman, I would be allowed	1	1
to ask you the same question.	1	1
And if I weren't a woman,	1	1
